pt_id,ndvi,rainfall_mm,dist_to_water,elevation,slope,curvature_profile,twi,drainage_density,lulc_dw,label,year
74,0.7587850689888,1535.4988299198449,180.0,11,2.8135175704956055,-2.2653460813658694e-06,8.126344730727004,0.7734930234266114,1,0,2018
79,0.47721758484840393,1591.565918236971,484.66483264210535,3,6.739992618560791,-9.088902327465877e-06,8.00257312958704,0.2864788975654116,4,0,2018
85,0.15994815528392792,2395.6548371315002,270.0,1,1.4073439836502075,-5.143497131557847e-08,12.860866300352612,0.888084582452776,3,0,2018
93,0.5370128750801086,2689.4539008140564,450.0,2,2.065174102783203,0.0,12.128451980000937,0.5729577951308232,4,0,2018
98,0.8614351153373718,2420.543308019638,1537.9206741571554,102,16.72020149230957,-0.00011351535205842114,11.338941512071333,0.0,1,0,2018
112,0.4391383230686188,1617.6751827932894,886.3972021616494,0,2.1728098392486572,7.543901052119384e-07,11.964558728355742,0.11459155902616464,4,0,2018
134,0.6612852811813354,1916.060427904129,774.2092740338364,1,5.025050163269043,8.86827408789492e-06,11.893667724104684,0.1432394487827058,1,0,2018
140,0.5392377376556396,1793.6630724668503,1152.5623627379127,2,2.173414468765259,-3.499814389197493e-07,6.944726170601694,0.0,4,0,2018
163,0.6297361254692078,1623.6301853656769,254.55844122715712,4,2.073146343231201,-4.11094336142326e-07,7.380716306111503,1.1459155902616465,1,0,2018
195,0.8612423539161682,2645.1430792808533,2382.8764130772706,166,8.402091979980469,-5.2559313096765605e-05,6.036006498839313,0.0,1,0,2018
198,0.6017796993255615,2359.9122166633606,1337.9461872586655,56,4.225409507751465,2.0035689202011593e-05,7.751356336933761,0.0,1,0,2018
210,0.18208226561546326,1427.2927923202515,201.24611797498108,5,3.2574234008789062,-2.318058127261468e-06,9.635206699292954,0.9453803619658584,4,0,2018
212,0.4310436546802521,1490.3525257110596,1484.3180252223578,4,1.4119718074798584,4.0152200528306563e-07,9.99096455891123,0.0,1,0,2018
215,0.5103341937065125,1406.3411308526993,254.55844122715712,0,1.0385850667953491,4.884287155348247e-07,8.572020640336996,0.716197243913529,1,0,2018
226,0.5871284604072571,1839.579963684082,576.2811813689564,7,3.257607936859131,1.2907426724964204e-06,7.022602486593742,0.45836623610465854,1,0,2018
237,0.6009222865104675,1870.3897082805634,1207.4767078498865,4,1.4114573001861572,-4.013548611465016e-07,9.24582053300656,0.0,1,0,2018
240,0.6962096691131592,2252.8667376041412,2401.49953154274,12,2.8214077949523926,4.6233674067821063e-07,7.427214899289674,0.0,1,0,2018
263,0.13866309821605682,2342.7970666885376,1094.8972554536795,4,2.2869741916656494,3.080000857139639e-07,7.858831000608272,0.0,3,0,2018
287,0.792359471321106,2288.6175673007965,3383.09030325825,131,4.344459056854248,5.562793435455295e-06,10.787364900855573,0.0,1,0,2018
293,0.6595947742462158,1416.8411140441895,2167.4870241826134,11,2.86560320854187,-2.9804948429648846e-07,7.425217391133993,0.0,1,0,2018
309,0.1299775093793869,1443.0021322965622,90.0,5,2.8241965770721436,-4.1015469217296543e-07,7.164065467596937,0.8021409131831525,4,0,2018
327,0.5714345574378967,1591.2407336235046,1337.9461872586655,1,0.9559096097946167,-7.712032350549863e-08,7.858594678327889,0.0,3,0,2018
336,-0.015619616024196148,1704.0083792209625,402.49223594996215,3,1.4121516942977905,2.024513897937252e-07,8.119125102673088,0.7448451336700701,0,0,2018
342,0.6508859992027283,1740.495305299759,1532.6447729333763,6,2.8241686820983887,9.235198826965698e-07,7.856851792446047,0.0,1,0,2018
344,0.695909857749939,1756.5091279745102,201.24611797498108,6,2.1756932735443115,-4.3678773215122144e-07,7.020544396004048,0.716197243913529,4,0,2018
345,0.5260909795761108,1756.5091279745102,1083.7435120913067,9,1.412432074546814,2.5693396008895352e-08,8.248256218380712,0.0,1,0,2018
352,0.2034936398267746,2094.579545021057,0.0,1,3.260719060897827,-2.571876838745969e-06,19.065553315634393,1.1459155902616465,0,0,2018
356,0.5337923765182495,2119.1523036956787,1681.3387523042466,6,2.079028606414795,0.0,7.37559152783943,0.0,1,0,2018
364,0.37247300148010254,2241.309999227524,1170.0,7,2.0805559158325195,1.1655345167694402e-06,9.165500735843173,0.0,4,0,2018
366,0.6792293190956116,2258.5957050323486,324.49961479175903,56,5.039762496948242,-2.236240500505329e-06,7.71401755557006,0.25783100780887047,1,0,2018
373,0.834172248840332,2338.290355682373,1530.0,158,8.479122161865234,-1.555612866039086e-05,6.3576636544652345,0.0,1,0,2018
382,0.6395954489707947,1418.6022387742996,763.6753236814712,10,1.4135243892669678,-1.2853387250916439e-07,8.16112723794844,0.34377467707849396,4,0,2018
386,0.17117257416248322,1384.249017715454,969.3296652842107,5,4.345596790313721,5.5901537603583e-06,6.732360925707114,0.02864788975654116,4,0,2018
392,0.5350264310836792,1445.5403000116348,636.3961030678928,8,3.54008412361145,1.6674664548688066e-06,10.419404143153454,0.5729577951308232,4,0,2018
398,0.5801249742507935,1384.8423031568527,829.7590011563599,13,2.1761605739593506,-1.1552406544224982e-06,6.7760758549657405,0.22918311805232927,6,0,2018
417,0.6634306907653809,1719.9614609479904,402.49223594996215,8,5.638020992279053,-9.190246324927517e-07,7.5676296635582885,0.6589014644004466,1,0,2018
426,0.342619389295578,2220.939696788788,1892.1416437465775,7,1.4132921695709229,1.4460813556694658e-07,7.856153169264159,0.0,1,0,2018
429,0.44726115465164185,2152.047252058983,371.07950630558946,11,2.083129644393921,-2.0240923291386386e-07,8.160313637878197,0.7734930234266114,4,0,2018
448,0.8979262709617615,2382.6799082756042,1263.210196285638,143,3.660646438598633,-9.60015437851636e-06,6.075462231961415,0.0,1,0,2018
453,0.6801139712333679,2420.1368222236633,324.49961479175903,53,14.737869262695312,2.9201831249711544e-05,8.049004666613587,0.6875493541569879,1,0,2018
474,0.6121039986610413,1331.9265413284302,270.0,10,1.4142762422561646,-3.7598115247406105e-07,8.952551396518881,1.1745634800181877,4,0,2018
483,0.4653128683567047,1408.472315554518,1173.4564329364769,14,2.177095413208008,-1.279260294297823e-06,6.823833718698402,0.0,6,0,2018
495,0.3137248158454895,1479.993937253952,450.0,7,1.4144572019577026,3.0848129402199454e-07,8.245661763015072,0.45836623610465854,4,0,2018
501,0.64305180311203,1760.1090188026428,1049.5713410721542,15,4.274101734161377,-6.774870921449933e-06,6.7465526982887,0.0,1,0,2018
509,0.5895544290542603,1858.617834329605,939.6275858019495,7,4.2707648277282715,1.6968254016415575e-06,12.339951837133908,0.02864788975654116,4,0,2018
528,0.8950853943824768,2571.028805375099,1170.0,396,10.973485946655273,-0.00021395579484532294,5.795431706180179,0.0,1,0,2018
537,0.4420090317726135,1307.2109622955322,270.0,16,1.4152319431304932,8.676488134016792e-08,8.545259278065343,0.7734930234266114,6,0,2018
542,0.3183579742908478,1233.463781952858,127.27922061357856,10,2.1775712966918945,5.360985002995478e-07,7.838940115935977,0.9167324722093171,4,0,2018
543,0.7298537492752075,1309.904485407751,284.60498941515414,13,2.0874412059783936,-4.625292740223111e-07,7.463353709006657,0.9453803619658584,4,0,2018
553,0.5354402661323547,1303.1706652185458,1622.4980739587952,13,1.4157204627990723,1.0282709800733149e-07,7.776458513494171,0.0,0,0,2018
555,0.20930244028568268,1377.3152947522758,450.0,11,1.4155499935150146,-1.229495362962436e-06,6.602269159688767,0.888084582452776,4,0,2018
557,0.4172508716583252,1351.9728131032098,725.6031973468694,13,2.2954461574554443,-1.2580595945930012e-06,8.466583360535537,0.48701412586119974,6,0,2018
566,0.07267802208662033,1305.5614308281984,90.0,0,0.0,0.0,11.057962523657679,0.544309905374282,7,0,2018
570,0.15951816737651825,1331.1422569378483,636.3961030678928,10,3.130932092666626,2.3085596443857626e-07,10.41134206187809,0.25783100780887047,0,0,2018
594,0.5190733075141907,1926.568281173706,814.9846624323676,4,2.296623468399048,9.246734813564211e-07,13.456037741414438,0.37242256683503505,1,0,2018
599,0.09409692138433456,2154.0649123191833,324.49961479175903,3,2.1775269508361816,-8.027097222930028e-08,9.342788826208496,0.5156620156177409,0,0,2018
612,0.4210028350353241,1351.5202742815018,381.8376618407356,16,4.58881950378418,-1.2099236905980978e-05,7.011153098491757,0.6875493541569879,4,0,2018
616,0.34730204939842224,1374.0365235209465,1288.6038956948719,8,2.2979722023010254,2.054188570269975e-06,8.283334218864006,0.0,4,0,2018
655,0.6529973149299622,1421.742098793391,1376.735268670052,14,2.093973398208618,8.674681410594167e-08,11.055627147011554,0.0,1,0,2018
657,0.41107603907585144,1398.7035496511326,90.0,12,0.9559096097946167,5.143497131557847e-08,8.945061833189758,1.059971920992023,4,0,2018
670,0.3254533112049103,1876.1314535140991,720.0,5,2.1793994903564453,1.2837342801969404e-06,8.528291682563498,0.2864788975654116,4,0,2018
694,0.3264155387878418,2140.273645401001,402.49223594996215,6,2.179178476333618,8.030440105661314e-08,8.149542516563043,0.5156620156177409,4,0,2018
708,0.505513072013855,1259.2336216154108,1872.778684201633,17,2.8356196880340576,0.0,7.455001170462259,0.0,1,0,2018
713,0.44845715165138245,1347.7973412087485,180.0,16,3.6773195266723633,4.2035737166724515e-07,8.239865855329175,0.6589014644004466,1,0,2018
716,0.45496681332588196,1427.6108268663556,849.0583018850942,15,1.0483808517456055,5.143497131557847e-08,8.240370521845842,0.25783100780887047,1,0,2018
724,0.5404584407806396,1861.3962213993073,1532.6447729333763,17,4.602111339569092,-1.728048611135892e-06,10.741527902561796,0.0,1,0,2018
